Estados miembros,Fecha de ingreso,Poblacion,Superficie terrestre,Zona economica exclusiva,Plataforma,Capital/es
Argentina,1948,40091359,2780400,1084386,856346,Buenos Aires
Bolivia,1948,10426160,1098581,,,Sucre
Brasil,1948,203429773,8514877,3660955,774563,Brasilia
Chile,1948,17094275,756096,3681989,252947,Santiago de Chile
Colombia,1948,48656937,1141748,817816,53691,Bogotá D.C
Costa Rica,1948,4579000,51100,574725,19585,San Jose
Cuba,1948,11242621,110860,350751,61525,La Habana
Dominicana,1948,10090000,48442,255898,10738,Santo Domingo
Ecuador,1948,14306876,283561,1072533,41034,Quito
El Salvador,1948,5744113,21041,90962,16852,San Salvador
EUA,1948,308745538,9826675,12174629,2193526,Washington D.C
Guatemala,1948,14700000,108889,114170,14422,Ciudad de Guatemala
Haiti,1948,9800000,27750,126760,6683,Puerto Príncipe
Honduras,1948,7793000,112492,249542,68718,Tegucigalpa y Comayaguela
Mexico,1948,112322757,1972550,3177593,419102,"Mexico, D. F."
Nicaragua,1948,5465100,129494,123881,70874,Managua
Panama,1948,3405813,78200,335646,53404,Panama
Paraguay,1948,7030917,406752,,,Asuncion
Peru,1948,29885340,1285215,906454,82000,Lima
Uruguay,1948,3424595,176215,142166,75327,Montevideo
Venezuela,1948,30102382,916445,860000,98500,Caracas
Barbados,1967,279912,279912,186898,426,Bridgetown
Trinidad y Tobago,1967,1299953,5128,74199,25284,Puerto España
Jamaica,1969,2735520,10991,258137,9802,Kingston
Granada,1975,89502,344,27426,2237,Saint George's
Surinam,1977,526000,16327,127772,53631,Paramaribo
Dominica,1979,69278,754,28985,659,Roseau
Santa Lucia,1979,160145,616,15617,544,Castries
Antigua y Barbuda,1981,87883,443,110089,4128,Saint John
Granadinas,1981,104000,389,36302,1561,Kingstown
Bahamas,1982,301790,13940,654715,106323,Nassau
San Cristobal ,1984,3895,261,9974,653,Basseterre
Canada,1990,34124781,9984670,5599077,2.644795,Ottawa
Belice,1991,372000,22966,35351,13178,Belmopan
Guyana,1991,759000,214970,137765,50578,Georgetown
